"","endpoint","field","data_type","can_query","group","common_name","description"
"97","assignees","patent_firstnamed_assignee_longitude","float","n","patents","First Named Assignee Longitude","Longitude of the location of the first-named (i.e. first in the list) assignee on the patent"
"98","assignees","patent_firstnamed_assignee_state","string","y","patents","First Named Assignee State","State of the location of the the first-named (i.e. first in the list) assignee on the patent"
"99","assignees","patent_firstnamed_inventor_city","string","y","patents","First Named Inventor City","City of the location of the the first-named (i.e. first in the list) inventor on the patent"
"100","assignees","patent_firstnamed_inventor_country","string","y","patents","First Named Inventor Country","Country of the location of the first-named (i.e. first in the list) inventor on the patent"
"101","assignees","patent_firstnamed_inventor_id","string","y","patents","First Named Inventor ID","Inventor ID (inventor_id) for the first-named (i.e. first in the list) inventor on the patent"
"102","assignees","patent_firstnamed_inventor_latitude","float","n","patents","First Named Inventor Latitude","Latitude of the location of the first-named (i.e. first in the list) inventor on the patent"
"103","assignees","patent_firstnamed_inventor_location_id","string","y","patents","First Named Inventor Location ID","Unique database ID for the location of the first-named (i.e. first in the list) inventor on the patent"
"104","assignees","patent_firstnamed_inventor_longitude","float","n","patents","First Named Inventor Longitude","Longitude of the location of the first-named (i.e. first in the list) inventor on the patent"
"105","assignees","patent_firstnamed_inventor_state","string","y","patents","First Named Inventor State","State of the location of the first-named (i.e. first in the list) inventor on the patent"
"106","assignees","patent_id","string","y","patents","Patent ID","Unique database ID for patent"
"107","assignees","patent_kind","string","y","patents","Kind","World Intellectual Property Organization (WIPO) Standard ST.16 Patent Code (http://www.uspto.gov/learning-and-resources/support-centers/electronic-business-center/kind-codes-included-uspto-patent)"
"108","assignees","patent_number","string","y","patents","Number","US Patent number, as assigned by USPTO"
"109","assignees","patent_num_cited_by_us_patents","integer","y","patents","Number Cited by US Patents","Number of times the patent was cited by other US patents"
"110","assignees","patent_num_claims","integer","n","patents","Number of Claims","Number of claim statements on the patent"
"111","assignees","patent_num_combined_citations","integer","y","patents","Number of Combined Citations","Number of patents and applications cited by the selected patent. This is the sum of citations of US patents, foreign patents, and US applications"
"112","assignees","patent_num_foreign_citations","integer","y","patents","Number of Foreign Citations","Number of foreign patents cited by the selected patent"
"113","assignees","patent_num_us_application_citations","integer","y","patents","Number of US Application Citations","Number of US applications cited by the selected patent"
"114","assignees","patent_num_us_patent_citations","integer","y","patents","Number of US Patent Citations","Number of US patents cited by the selected patent"
"115","assignees","patent_title","fulltext","y","patents","Title","Title of the  patent"
"116","assignees","patent_type","string","y","patents","Type","Category of patent. There are 6 possible type: ""Defensive Publication"" - 509, ""Design"" - 474736, ""Plant"" - 21052, ""Reissue"" - 16416, ""Statutory Invention Registration"" - 2254, ""Utility"" - 4910906."
"117","assignees","rawinventor_first_name","string","y","rawinventors","First Name","Inventor first name before disambiguation as listed on the selected patent"
"118","assignees","rawinventor_last_name","string","y","rawinventors","Last Name","Inventor last name before disambiguation as listed on the selected patent"
"119","assignees","uspc_first_seen_date","date","y","uspcs","First Seen Date","Grant date of the earliest patent in the database within a USPC mainclass"
"120","assignees","uspc_last_seen_date","date","y","uspcs","Last Seen Date","Grant date of the most recent patent in the database within a USPC mainclass"
"121","assignees","uspc_mainclass_id","string","y","uspcs","Mainclass ID","ID of the USPC mainclass"
"122","assignees","uspc_mainclass_title","string","y","uspcs","Mainclass Title","Description of USPC mainclass"
"123","assignees","uspc_num_patents_for_assignee","integer","n","uspcs","Number of Patents for Assignee","Total number of unique patents within a USPC mainclass with a given assignee"
"124","assignees","uspc_sequence","integer","y","uspcs","Sequence","Order of the USPC classification in the list of classifications for the selected patent"
"125","assignees","uspc_subclass_id","string","y","uspcs","Subclass ID","ID of USPC subclass"
"126","assignees","uspc_subclass_title","string","y","uspcs","Subclass Title","Description of USPC subclass"
"127","assignees","uspc_total_num_assignees","integer","y","uspcs","Total Number of Assignees","Total number of unique assignees on patents within a USPC mainclass"
"128","assignees","uspc_total_num_inventors","integer","y","uspcs","Total Number of Inventors","Total number of unique inventors on patents  within a USPC mainclass"
"129","assignees","wipo_field_id","integer","y","wipos","WIPO Technology Field ID","ID of WIPO technology field"
"130","assignees","wipo_field_title","string","y","wipos","Technology Field Title","Description of WIPO technology field"
"131","assignees","wipo_sector_title","string","y","wipos","Technology Sector Title","Description of WIPO technology sector"
"132","assignees","wipo_sequence","integer","y","wipos","Sequence","Order of the WIPO technology field in the list of technology fields for the selected patent"
"133","assignees","year_id","integer","y","years","ID","Year"
"134","assignees","year_num_patents_for_assignee","integer","n","years","Number of Patents for Assignee","Number of patents for an assignee for a given year"
"135","cpc_subsections","app_country","string","y","applications","Country","Country in which patent application was filed, always U.S."
"136","cpc_subsections","app_date","date","y","applications","Filing Date","Date the patent application was filed (filing date)"
"137","cpc_subsections","app_number","string","y","applications","Number","Application ID assigned by USPTO"
"138","cpc_subsections","app_type","string","y","applications","Type","Patent Application Type (From XML data dictionary). 02 through 28 = Utility application; 29, D = Design application; 60 = Provisional application; 90 = Reexamination request"
"139","cpc_subsections","assignee_city","string","y","assignees","City","Assignee's city as listed on the patent"
"140","cpc_subsections","assignee_country","string","y","assignees","Country","Assignee's country as listed on the patent"
"141","cpc_subsections","assignee_first_name","string","y","assignees","First Name","First name, if assignee is individual"
"142","cpc_subsections","assignee_first_seen_date","date","y","assignees","First Seen Date","Earliest patent grant date for all of an asisgnee's patents in the database"
"143","cpc_subsections","assignee_id","string","y","assignees","ID","Unique database assignee ID assigned by disambiguation algorithm"
"144","cpc_subsections","assignee_lastknown_city","string","y","assignees","Last Known City","Assignee's country as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"145","cpc_subsections","assignee_lastknown_country","string","y","assignees","Last Known Country","Assignee's city as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"146","cpc_subsections","assignee_lastknown_latitude","float","n","assignees","Last Known Latitude","Latitude for assignee's location as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"147","cpc_subsections","assignee_lastknown_location_id","string","y","assignees","Last Known Location ID","Unique database ID for the assignee's location on their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"148","cpc_subsections","assignee_lastknown_longitude","float","n","assignees","Last Known Longitude","Longitude for assignee's location as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"149","cpc_subsections","assignee_lastknown_state","string","y","assignees","Last Known State","Assignee's state as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
"150","cpc_subsections","assignee_last_name","string","y","assignees","Last Name","Last name, if assignee is individual"
"151","cpc_subsections","assignee_last_seen_date","date","y","assignees","Last Seen Date","Most recent patent grant date for all of the asisgnee's patents in the database"
"152","cpc_subsections","assignee_latitude","float","n","assignees","Latitude","Latitude for assignee's location as listed on the patent"
"153","cpc_subsections","assignee_location_id","string","y","assignees","Location ID","Unique database ID for the assignee's location as listed on the patent"
"154","cpc_subsections","assignee_longitude","float","n","assignees","Longitude","Longitude for assignee's location a listed on the patent"
"155","cpc_subsections","assignee_num_patents_for_cpc_subsection","integer","n","assignees","Number of Patents for CPC Subsection","Number of patents in the database for a given assignee within a CPC subsection"
"156","cpc_subsections","assignee_organization","string","y","assignees","Organization","Organization name, if assignee is organization"
"157","cpc_subsections","assignee_state","string","y","assignees","State","Assignee's state as listed on the patent"
"158","cpc_subsections","assignee_total_num_inventors","integer","y","assignees","Total Number of Inventors","Total number of inventors in database for a given assignee (as indicated by unique assignee_id)"
"159","cpc_subsections","assignee_total_num_patents","integer","y","assignees","Total Number of Patents","Total number of patents in database for a given assignee (as indicated by unique assignee_id)"
"160","cpc_subsections","assignee_type","string","y","assignees","Type","Classification of assignee. 2 - US Company or Corporation, 3 - Foreign Company or Corporation, 4 - US Individual, 5 - Foreign Individual, 6 - US Government, 7 - Foreign Government, 8 - Country Government, 9 - State Government (US). Note: A ""1"" appearing before any of these codes signifies part interest"
"161","cpc_subsections","cpc_category","string","y","cpc_subsections","Category","Top Level Cooperative Patent Classification (CPC) category (http://www.cooperativepatentclassification.org/index.html)"
"162","cpc_subsections","cpc_first_seen_date","date","y","cpc_subsections","First Seen Date","Grant date of the earliest patent in the database within a CPC subsection."
"163","cpc_subsections","cpc_group_id","string","y","cpc_subgroups","Group ID","CPC group ID"
"164","cpc_subsections","cpc_group_title","string","y","cpc_subgroups","Group Title","Description of CPC group"
"165","cpc_subsections","cpc_last_seen_date","date","y","cpc_subsections","Last Seen Date","Grant date of the most recent patent in the database within a CPC subsection"
"166","cpc_subsections","cpc_section_id","string","y","cpc_subsections","Section ID","CPC section ID (A = Human Necessitites, B = Performing Operations; Transporint, C = Chemistry; Metallurgy, D = Textiles; paper, E = Fixed Constructing, F = Mechanical Engineering; Lighting; Heating; Weapons; Blasting Engines; Pumps, G = Physics, H = Electricity, Y = General Tagging of new technological developments)"
"167","cpc_subsections","cpc_subgroup_id","string","y","cpc_subgroups","Subgroup ID","CPC subgroup ID"
"168","cpc_subsections","cpc_subgroup_title","string","y","cpc_subgroups","Subgroup Title","Description of CPC subgroup"
"169","cpc_subsections","cpc_subsection_id","string","y","cpc_subsections","Subsection ID","CPC subsection ID"
"170","cpc_subsections","cpc_subsection_title","string","y","cpc_subsections","Subsection Title","Description of CPC subsection"
"171","cpc_subsections","cpc_total_num_assignees","integer","y","cpc_subsections","Total Number of Assignees","Total number of unique assignees on patents within a CPC subsection"
"172","cpc_subsections","cpc_total_num_inventors","integer","y","cpc_subsections","Total Number of Inventors","Total number of unique inventors on patents within a CPC subsection"
"173","cpc_subsections","cpc_total_num_patents","integer","y","cpc_subsections","Total Number of Patents","Total number of patents within a CPC subsection"
"174","cpc_subsections","govint_contract_award_number","string","y","gov_interests","Contract/Award Number","Contract or award number as reported in the government interest statement on patents (if available)"
"175","cpc_subsections","govint_org_id","integer","y","gov_interests","Organization ID","Organization ID of the U.S. government agency reported in the government interest statement on patents (if available)"
"176","cpc_subsections","govint_org_level_one","string","y","gov_interests","Top Level Government Organization","The top-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institutes of Health report to the U.S. Department of Health and Human Services."
"177","cpc_subsections","govint_org_level_three","string","y","gov_interests","Third Level Government Organization","The third-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institute for Occupational Safety and Health is third-level in relation to the Centers for Disease Control and Prevention that report to the U.S. Department of Health and Human Services."
"178","cpc_subsections","govint_org_level_two","string","y","gov_interests","Second Level Government Organization","The second-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institutes of Health is second-level in relation to the National Heart, Lung, and Blood Institute."
"179","cpc_subsections","govint_org_name","string","y","gov_interests","Organization Name","Name of the U.S. government organization reported in the government interest statement on patents (if available)."
"180","cpc_subsections","govint_raw_statement","fulltext","y","gov_interests","Government Interest Statement","The full government interest statement as reported on a given patent (if available)."
"181","cpc_subsections","inventor_city","string","y","inventors","City","Inventor's city as listed on the selected patent"
"182","cpc_subsections","inventor_country","string","y","inventors","Country","Inventor's country as listed on the selected patent"
"183","cpc_subsections","inventor_first_name","string","y","inventors","First Name","First name of inventor"
"184","cpc_subsections","inventor_first_seen_date","date","y","inventors","First Seen Date","Earliest patent grant date for all the inventor's patents in the database"
"185","cpc_subsections","inventor_id","string","y","inventors","ID","Unique database inventor ID  by disambiguation algorithm"
"186","cpc_subsections","inventor_lastknown_city","string","y","inventors","Last Known City","Inventor's city as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
"187","cpc_subsections","inventor_lastknown_country","string","y","inventors","Last Known Country","Inventor's country as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
"188","cpc_subsections","inventor_lastknown_latitude","float","n","inventors","Last Known Latitude","Latitude of inventor's city as of  their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
"189","cpc_subsections","inventor_lastknown_location_id","string","y","inventors","Last Known Location ID","Unique database ID for the inventor's location as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
"190","cpc_subsections","inventor_lastknown_longitude","float","n","inventors","Last Known Longitude","Longitude of inventor's city as of  their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
"191","cpc_subsections","inventor_lastknown_state","string","y","inventors","Last Known State","Inventor's state as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
"192","cpc_subsections","inventor_last_name","string","y","inventors","Last Name","Last name of inventor"
"193","cpc_subsections","inventor_last_seen_date","date","y","inventors","Last Seen Date","Most recent patent grant date for all the inventor's patents in the database"
"194","cpc_subsections","inventor_latitude","float","n","inventors","Latitude","Latitude of inventor's as listed on the selected patent patent"
"195","cpc_subsections","inventor_location_id","string","y","inventors","Location ID","Unique database ID for  inventor's location as listed on the selected patent"
"196","cpc_subsections","inventor_longitude","float","n","inventors","Longitude","Longitude of inventor's city as listed on the selected patent"
"197","cpc_subsections","inventor_num_patents_for_cpc_subsection","integer","n","inventors","Number of Patents for CPCSubsection","Number of patents for an inventor within a CPC subsection"
"198","cpc_subsections","inventor_state","string","y","inventors","State","Inventor's state as listed on the selected patent"
"199","cpc_subsections","inventor_total_num_patents","integer","y","inventors","Total Number of Patents","Total number of patents in the database for a given inventor (as indicated by unique inventor_id)"
"200","cpc_subsections","ipc_action_date","date","n","ipcs","Action Date","Date an International Patent Classification (IPC) is issued for the patent"
"201","cpc_subsections","ipc_class","string","y","ipcs","Class","Second hierarchial level of the IPC system, sections are subdivided into classes"
"202","cpc_subsections","ipc_classification_data_source","string","n","ipcs","Classification Data Source",NA
"203","cpc_subsections","ipc_classification_value","string","y","ipcs","Classification Value",NA
"204","cpc_subsections","ipc_first_seen_date","date","y","ipcs","First Seen Date","Grant date of the earliest patent in the database within a IPC group"
